Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Push-up With Rotation,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up and rotate into a side plank, focusing on your chest and core.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and core strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Side Plank Rotation,Strength,Core,Plank,Intermediate,,"Hold a side plank and rotate your upper body, focusing on your core and obliques.",Use a resistance band for more intensity.,Keep your body straight and core engaged.,Builds core and oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Resistance Band Overhead Squat,Strength,Legs,Squat,Intermediate,Resistance Band,"Perform a squat with a resistance band held overhead, focusing on your legs.",Use different bands for variation.,Keep your core engaged and back straight.,Builds leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Supine Medicine Ball Chest Throw,Strength,Chest,Throw,Intermediate,Medicine Ball,"Lie on your back and perform a chest throw with a medicine ball, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength and power.,Dynamic.,Main workout,Power,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Reverse Dips,Strength,Triceps,Dip,Intermediate,,"Perform a dip with your hands behind you, focusing on your triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds tricep strength.,Dynamic.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Trx Chest Press,Strength,Chest,Press,Intermediate,Suspension Trainer,"Perform a chest press using a suspension trainer, focusing on your chest and triceps.",Use different angles for variation.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Seal Row,Strength,Back,Row,Intermediate,Dumbbells,"Perform a row with dumbbells while lying on a bench, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Lever Standing Hip Extension,Strength,Glutes,Extension,Intermediate,Machine,"Perform a hip extension using a lever machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Dumbbell Straight Arm Pullover (knees at 90 degrees),Strength,Chest,Pullover,Intermediate,Dumbbells,"Perform a straight arm pullover with your knees bent at 90 degrees, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers"
Trx Chest Fly,Strength,Chest,Fly,Intermediate,Suspension Trainer,"Perform a chest fly using a suspension trainer, focusing on your chest.",Use different angles for variation.,Keep your core engaged and body straight.,Builds chest strength and stability.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Doorway Pec and Shoulder Stretch,Flexibility,Chest,Stretch,Beginner,,Stand in a doorway and place your arms on the frame to stretch your chest and shoulders.,Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves chest and shoulder flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Prone Abdominal Hollowing,Strength,Abs,Hold,Intermediate,,"Lie face down and lift your arms and legs, focusing on your abs.",Increase hold time for more intensity.,Keep your core engaged and back straight.,Builds abdominal strength and stability.,Static.,Main workout,Stability,Transverse Abdominis,,,"Core, Lower Back"
Hell Slide,Cardio,Full Body,Slide,Intermediate,,"Perform a sliding motion with your feet while in a plank position, focusing on full body conditioning.",Increase speed for more intensity.,Keep your core engaged and back straight.,Improves cardiovascular fitness and coordination.,Dynamic.,Cardio,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Wall Ball,Cardio,Full Body,Throw,Intermediate,Medicine Ball,"Perform a squat and throw a medicine ball against a wall, focusing on full body conditioning.",Use different weights for variation.,Keep your core engaged and back straight.,Builds full body strength and power.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Kicks Leg Bent,Cardio,Legs,Kick,Beginner,,"Perform kicks with your leg bent, focusing on leg conditioning.",Increase speed for more intensity.,Keep your core engaged and back straight.,Improves cardiovascular fitness and leg strength.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Kneeling Leg Out Adductor Stretch,Flexibility,Adductors,Stretch,Beginner,,Kneel and extend one leg out to the side to stretch your adductors.,Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves adductor flexibility.,Static.,Cool down,Stability,Adductors,,Abductors,"Core, Lower Back"
Resistance Band Pull Apart,Strength,Shoulders,Pull,Intermediate,Resistance Band,"Perform a pull apart using a resistance band, focusing on your shoulders.",Use different bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Half Frog Pose,Flexibility,Hips,Stretch,Beginner,,Lie on your stomach and bring one leg to the side to stretch your hips.,Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves hip flexibility.,Static.,Cool down,Stability,Adductors,,Abductors,"Core, Lower Back"
Happy Baby Pose,Flexibility,Hips,Stretch,Beginner,,"Lie on your back, grab your feet, and gently pull your knees towards your chest.",Increase stretch time for more intensity.,Keep your lower back on the ground.,Improves hip flexibility and relieves lower back tension.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back"
Barbell Drag Curl,Strength,Biceps,Curl,Intermediate,Barbell,"Perform a barbell curl while dragging the barbell up your body, focusing on your biceps.",Use different grips for variation.,Keep your elbows close to your body.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Kettlebell Renegade Row,Strength,Back,Row,Intermediate,Kettlebells,"Perform a row with kettlebells while in a plank position, focusing on your back and core.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength and core stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Push-Up to Renegade Row,Strength,Full Body,Push-Up,Advanced,Dumbbells,"Perform a push-up followed by a renegade row with dumbbells, focusing on full body conditioning.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds full body strength and stability.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Modified Hindu Push-up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up with a swooping motion, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Knuckle Push-Up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up on your knuckles, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Planche Push-Up,Strength,Full Body,Push-Up,Advanced,,"Perform a push-up with your feet off the ground, focusing on full body strength.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds full body strength and stability.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Finger Push-up,Strength,Chest,Push-Up,Advanced,,"Perform a push-up on your fingers, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Chest Tap Push-up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up followed by a chest tap, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Deep Push-Up,Strength,Chest,Push-Up,Intermediate,Kettlebells,"Perform a push-up with your hands on kettlebells, focusing on your chest and triceps.",Increase depth for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Archer Push-Up,Strength,Chest,Push-Up,Advanced,,"Perform a push-up with one arm extended to the side, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
One Leg Push-Up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up with one leg off the ground, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Medicine Ball Crunch,Strength,Abs,Crunch,Intermediate,Medicine Ball,"Perform a crunch with a medicine ball, focusing on your abs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds abdominal strength and stability.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Bosu Ball Push-Up,Strength,Chest,Push-Up,Intermediate,Bosu Ball,"Perform a push-up with your hands on a Bosu ball, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Resistance Band Alternating Chest Fly,Strength,Chest,Fly,Intermediate,Resistance Band,"Perform a chest fly with a resistance band, focusing on your chest.",Use different bands for variation.,Keep your core engaged and back straight.,Builds chest strength and stability.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Figure 8,Strength,Full Body,Swing,Intermediate,Kettlebell,"Perform a figure 8 motion with a kettlebell, focusing on full body conditioning.",Use different weights for variation.,Keep your core engaged and back straight.,Builds full body strength and power.,Dynamic.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Smith Machine Hip Thrust,Strength,Glutes,Thrust,Intermediate,Smith Machine,"Perform a hip thrust using a Smith machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength and power.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Resistance Band Hip Thrust,Strength,Glutes,Thrust,Intermediate,Resistance Band,"Perform a hip thrust with a resistance band, focusing on your glutes.",Use different bands for variation.,Keep your core engaged and back straight.,Builds glute strength and power.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Resistance Band Hip Thrusts on Knees,Strength,Glutes,Thrust,Intermediate,Resistance Band,"Perform a hip thrust with a resistance band while on your knees, focusing on your glutes.",Use different bands for variation.,Keep your core engaged and back straight.,Builds glute strength and power.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Barbell Finger Curl,Strength,Forearms,Curl,Intermediate,Barbell,"Perform a finger curl with a barbell, focusing on your forearms.",Use different grips for variation.,Keep your core engaged and back straight.,Builds forearm strength and grip.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Dumbbell Finger Curl,Strength,Forearms,Curl,Intermediate,Dumbbells,"Perform a finger curl with dumbbells, focusing on your forearms.",Use different grips for variation.,Keep your core engaged and back straight.,Builds forearm strength and grip.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Dumbbell Renegade Row,Strength,Back,Row,Intermediate,Dumbbells,"Perform a row with dumbbells while in a plank position, focusing on your back and core.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength and core stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Ball Russian Twist throw with partner,Strength,Abs,Twist,Intermediate,Medicine Ball,"Perform a Russian twist and throw a medicine ball to a partner, focusing on your abs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds abdominal strength and coordination.,Dynamic.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Kettlebell Lateral Raise,Strength,Shoulders,Raise,Intermediate,Kettlebells,"Perform a lateral raise with kettlebells, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Barbell Single Leg Deadlift,Strength,Hamstrings,Deadlift,Intermediate,Barbell,"Perform a deadlift on one leg with a barbell, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged and back straight.,Builds hamstring strength and balance.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back"
Dumbbell Single Leg Deadlift,Strength,Hamstrings,Deadlift,Intermediate,Dumbbells,"Perform a deadlift on one leg with dumbbells, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged and back straight.,Builds hamstring strength and balance.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back"
Dumbbell Reverse Grip 30 Degrees Incline Bench Press,Strength,Chest,Press,Intermediate,Dumbbells,"Perform a bench press with dumbbells on a 30-degree incline, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength and definition.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Close Grip Barbell Curl,Strength,Biceps,Curl,Intermediate,Barbell,"Perform a curl with a close grip on a barbell, focusing on your biceps.",Use different grips for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Seated Leg Extension with Resistance Band,Strength,Quads,Extension,Intermediate,Resistance Band,"Perform a leg extension with a resistance band, focusing on your quads.",Use different bands for variation.,Keep your core engaged and back straight.,Builds quad strength and definition.,Controlled.,Main workout,Strength,Quadriceps,,Hamstrings,"Core, Lower Back"
Good Morning With Resistance Band,Strength,Lower Back,Bend,Intermediate,Resistance Band,"Perform a good morning with a resistance band, focusing on your lower back.",Use different bands for variation.,Keep your core engaged and back straight.,Builds lower back strength and flexibility.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Dumbbell Bench Squat,Strength,Quads,Squat,Intermediate,Dumbbells,"Perform a squat with dumbbells on a bench, focusing on your quads.",Use different weights for variation.,Keep your core engaged and back straight.,Builds quad strength and definition.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Seated Ab Crunch Machine,Strength,Abs,Crunch,Intermediate,Machine,"Perform a crunch on an ab machine, focusing on your abs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds abdominal strength and stability.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Pendulum Squat,Strength,Quads,Squat,Intermediate,Pendulum Machine,"Perform a squat on a pendulum machine, focusing on your quads.",Use different weights for variation.,Keep your core engaged and back straight.,Builds quad strength and definition.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Band Assisted Pull-up,Strength,Back,Pull-Up,Intermediate,Resistance Band,"Perform a pull-up with band assistance, focusing on your back.",Use different bands for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Dumbbell Windmill,Strength,Full Body,Twist,Intermediate,Dumbbells,"Perform a windmill with dumbbells, focusing on full body conditioning.",Use different weights for variation.,Keep your core engaged and back straight.,Builds full body strength and flexibility.,Dynamic.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Rolling Like a Ball,Flexibility,Abs,Stretch,Beginner,,"Roll back and forth on your spine, focusing on your abs and back.",Increase speed for more intensity.,Keep your core engaged and back straight.,Improves abdominal and back flexibility.,Dynamic.,Cool down,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Dumbbell Iron Cross,Strength,Shoulders,Raise,Intermediate,Dumbbells,"Perform an iron cross with dumbbells, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Incline Landmine Press,Strength,Chest,Press,Intermediate,Landmine,"Perform a press with a landmine on an incline, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength and definition.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Box Pistol Squat,Strength,Quads,Squat,Intermediate,Box,"Perform a pistol squat on a box, focusing on your quads.",Use different heights for variation.,Keep your core engaged and back straight.,Builds quad strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Ring Dips,Strength,Chest,Dip,Advanced,Rings,"Perform a dip on rings, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Sitting Rotation Hip Stretch,Flexibility,Hips,Stretch,Beginner,,Sit and rotate your hips to stretch your adductors.,Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves hip flexibility.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back"
Supported One Leg Standing Hip Flexor And Knee Extensor Stretch,Flexibility,Hips,Stretch,Beginner,,Stand and stretch your hip flexors and knee extensors with support.,Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves hip flexibility.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back"
Squat mobility Complex,Flexibility,Quads,Stretch,Beginner,,Perform a series of squats to improve mobility.,Increase speed for more intensity.,Keep your core engaged and back straight.,Improves quad flexibility and strength.,Dynamic.,Cool down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Cobra Push-up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up with a cobra motion, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Shoulder Tap Push-up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up followed by a shoulder tap, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Single Arm Raise Push-up,Strength,Chest,Push-Up,Intermediate,,"Perform a push-up followed by a single arm raise, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Suspended Push-Up,Strength,Chest,Push-Up,Advanced,Rings,"Perform a push-up on rings, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Close-grip Dumbbell Push-Up,Strength,Chest,Push-Up,Intermediate,Dumbbells,"Perform a push-up with a close grip on dumbbells, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Medicine Ball Push-Up,Strength,Chest,Push-Up,Intermediate,Medicine Ball,"Perform a push-up with your hands on a medicine ball, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Single Arm Push-Up on Medicine Ball,Strength,Chest,Push-Up,Intermediate,Medicine Ball,"Perform a push-up with one arm on a medicine ball, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Weighted Vest Push-up,Strength,Chest,Push-Up,Intermediate,Weighted Vest,"Perform a push-up with a weighted vest, focusing on your chest and triceps.",Increase weight for more intensity.,Keep your core engaged and body straight.,Builds chest and tricep strength.,Dynamic.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
One Arm Cable Bicep Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,"Perform a bicep curl with one arm using a cable machine, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Single Arm Reverse Grip Cable Bicep Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,"Perform a reverse grip bicep curl with one arm using a cable machine, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Forearm Extensors,Brachialis,Forearm Flexors,"Core, Scapular Stabilizers"
Assault AirBike,Cardio,Full Body,Bike,Intermediate,Assault AirBike,Ride an Assault AirBike for a high-intensity cardio workout.,Increase speed for more intensity.,Keep your core engaged and back straight.,Builds cardiovascular endurance and burns calories.,Dynamic.,Main workout,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Recumbent Exercise Bike,Cardio,Legs,Bike,Beginner,Recumbent Bike,Ride a recumbent bike for a low-impact cardio workout.,Increase speed for more intensity.,Keep your core engaged and back straight.,Builds cardiovascular endurance and burns calories.,Dynamic.,Main workout,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Reverse Wrist Curl Over a Bench,Strength,Forearms,Curl,Intermediate,Barbell,"Perform a reverse wrist curl with a barbell over a bench, focusing on your forearms.",Use different weights for variation.,Keep your core engaged and back straight.,Builds forearm strength and grip.,Controlled.,Main workout,Strength,Forearm Extensors,,Forearm Flexors,"Core, Scapular Stabilizers"
Water Bottle Hammer Curl,Strength,Biceps,Curl,Beginner,Water Bottles,"Perform a hammer curl with water bottles, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Brachialis,Biceps,Triceps,"Core, Scapular Stabilizers"
Seated Alternating Dumbbell Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,"Perform an alternating dumbbell curl while seated, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Dumbbell Single Arm Lateral Raise,Strength,Shoulders,Raise,Intermediate,Dumbbells,"Perform a lateral raise with one arm using a dumbbell, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Seated Alternate Front Raise,Strength,Shoulders,Raise,Intermediate,Dumbbells,"Perform an alternating front raise with dumbbells while seated, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Side Lying Hip Adduction,Strength,Adductors,Adduction,Beginner,,"Lie on your side and lift your top leg, focusing on your adductors.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds adductor strength and stability.,Controlled.,Main workout,Strength,Adductors,,Abductors,"Core, Lower Back"
Side Hip Abduction,Strength,Abductors,Abduction,Beginner,,"Lie on your side and lift your top leg, focusing on your abductors.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds abductor strength and stability.,Controlled.,Main workout,Strength,Abductors,,Adductors,"Core, Lower Back"
Side Lying Feet Raise,Strength,Obliques,Raise,Beginner,,"Lie on your side and lift both legs, focusing on your obliques.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds oblique strength and stability.,Controlled.,Main workout,Strength,Adductors,,Abductors,"Core, Lower Back"
Seated Bicep Curl With Resistance Band,Strength,Biceps,Curl,Intermediate,Resistance Band,"Perform a bicep curl with a resistance band while seated, focusing on your biceps.",Use different bands for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Dhanurasana | Rocking Bow Pose,Flexibility,Back,Stretch,Intermediate,,"Lie on your stomach, grab your feet, and gently rock back and forth.",Increase stretch time for more intensity.,Keep your core engaged and back straight.,Improves back flexibility and relieves tension.,Static.,Cool down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back"
Standing Banded Row,Strength,Back,Row,Intermediate,Resistance Band,"Perform a row with a resistance band while standing, focusing on your back.",Use different bands for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Rear Drive With Resistance Band,Strength,Glutes,Drive,Intermediate,Resistance Band,"Perform a rear drive with a resistance band, focusing on your glutes.",Use different bands for variation.,Keep your core engaged and back straight.,Builds glute strength and power.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
One-Arm Biceps Curl With Resistance Band,Strength,Biceps,Curl,Intermediate,Resistance Band,"Perform a bicep curl with one arm using a resistance band, focusing on your biceps.",Use different bands for variation.,Keep your core engaged and back straight.,Builds bicep strength and definition.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Single Stiff Leg Deadlift With Resistance Band,Strength,Hamstrings,Deadlift,Intermediate,Resistance Band,"Perform a stiff leg deadlift on one leg with a resistance band, focusing on your hamstrings.",Use different bands for variation.,Keep your core engaged and back straight.,Builds hamstring strength and balance.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back"
Pull through With Resistance Band,Strength,Glutes,Pull-Through,Intermediate,Resistance Band,"Perform a pull-through with a resistance band, focusing on your glutes.",Use different bands for variation.,Keep your core engaged and back straight.,Builds glute strength and power.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
